[27-Jun-2017 13:22:20 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
[27-Jun-2017 13:22:20 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
[27-Jun-2017 13:22:20 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
[27-Jun-2017 13:22:20 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
[27-Jun-2017 13:54:37 Europe/London] PHP Parse error:  syntax error, unexpected '.' in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 45
[27-Jun-2017 14:00:07 Europe/London] PHP Parse error:  syntax error, unexpected '(' in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 41
[27-Jun-2017 15:15:31 Europe/London] PHP Warning:  None of the following templates could be found in theme "custom": Blocks/ImageBlock.ss in C:\Apache24\htdocs\silverstripe\development\master\framework\view\SSViewer.php on line 918
[27-Jun-2017 15:15:31 Europe/London] PHP Warning:  file_get_contents(): Filename cannot be empty in C:\Apache24\htdocs\silverstripe\development\master\framework\view\SSViewer.php on line 1202
[27-Jun-2017 15:17:49 Europe/London] PHP Warning:  None of the following templates could be found in theme "custom": Blocks/SectionTextBlock.ss in C:\Apache24\htdocs\silverstripe\development\master\framework\view\SSViewer.php on line 918
[27-Jun-2017 15:17:49 Europe/London] PHP Warning:  file_get_contents(): Filename cannot be empty in C:\Apache24\htdocs\silverstripe\development\master\framework\view\SSViewer.php on line 1202
[27-Jun-2017 15:17:49 Europe/London] PHP Warning:  None of the following templates could be found in theme "custom": Blocks/SectionImageBlock.ss in C:\Apache24\htdocs\silverstripe\development\master\framework\view\SSViewer.php on line 918
[27-Jun-2017 15:18:10 Europe/London] PHP Warning:  None of the following templates could be found in theme "custom": Blocks/SectionTextBlock.ss in C:\Apache24\htdocs\silverstripe\development\master\framework\view\SSViewer.php on line 918
[27-Jun-2017 15:18:10 Europe/London] PHP Warning:  None of the following templates could be found in theme "custom": Blocks/SectionImageBlock.ss in C:\Apache24\htdocs\silverstripe\development\master\framework\view\SSViewer.php on line 918
[27-Jun-2017 16:30:51 Europe/London] PHP Fatal error:  Object::add_extension() - Can't find extension class for "ImageUploadField" in C:\Apache24\htdocs\silverstripe\development\master\framework\core\Object.php on line 552
[27-Jun-2017 16:30:55 Europe/London] PHP Fatal error:  Object::add_extension() - Can't find extension class for "ImageUploadField" in C:\Apache24\htdocs\silverstripe\development\master\framework\core\Object.php on line 552
[27-Jun-2017 16:31:02 Europe/London] PHP Fatal error:  Object::add_extension() - Extension "ImageUploadField" is not a subclass of Extension in C:\Apache24\htdocs\silverstripe\development\master\framework\core\Object.php on line 559
[27-Jun-2017 16:31:05 Europe/London] PHP Fatal error:  Object::add_extension() - Extension "ImageUploadField" is not a subclass of Extension in C:\Apache24\htdocs\silverstripe\development\master\framework\core\Object.php on line 559
